               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036545,             0.14479,           0.0033575,             0.99325,             0.99334,             0.98955,             0.60487,             0.03105,             0.11109,           0.0022962,            0.006535,            0.006535,            0.006535
                  37,            0.035889,             0.14241,           0.0032242,             0.99347,              0.9935,             0.98976,             0.60691,             0.03059,             0.11065,           0.0022462,            0.006436,            0.006436,            0.006436
                  38,            0.035446,             0.14285,            0.003122,             0.99335,              0.9933,             0.98925,             0.60393,             0.03055,              0.1109,           0.0022159,            0.006337,            0.006337,            0.006337
                  39,            0.036266,             0.14948,           0.0032363,             0.99329,              0.9935,             0.98933,              0.6001,            0.031218,             0.11122,            0.002218,            0.006238,            0.006238,            0.006238
                  40,            0.035719,              0.1451,           0.0033389,             0.99291,             0.99291,             0.98867,              0.5966,             0.03045,             0.11071,           0.0022055,            0.006139,            0.006139,            0.006139
                  41,            0.035638,             0.14547,           0.0031945,             0.99335,             0.99351,             0.98949,             0.60929,            0.030486,             0.11107,           0.0021852,             0.00604,             0.00604,             0.00604
                  42,            0.035004,             0.13844,            0.003042,             0.99343,             0.99355,              0.9895,             0.61106,            0.030445,             0.11058,           0.0021615,            0.005941,            0.005941,            0.005941
                  43,            0.034316,             0.13729,           0.0030951,             0.99328,             0.99351,             0.99015,             0.61589,            0.030072,             0.11001,           0.0021575,            0.005842,            0.005842,            0.005842
                  44,            0.035281,             0.14445,           0.0032229,              0.9932,             0.99341,             0.99025,             0.59251,            0.030914,             0.11065,           0.0021561,            0.005743,            0.005743,            0.005743
                  45,            0.034722,             0.14278,           0.0029149,             0.99359,             0.99378,             0.99088,             0.61412,            0.030224,             0.11017,           0.0021167,            0.005644,            0.005644,            0.005644
                  46,            0.034633,             0.14198,           0.0031071,             0.99336,              0.9937,             0.99052,             0.61236,            0.030056,             0.11058,           0.0021295,            0.005545,            0.005545,            0.005545
                  47,            0.035122,             0.14113,           0.0031712,             0.99338,             0.99355,              0.9899,             0.61802,             0.03022,             0.11025,           0.0021444,            0.005446,            0.005446,            0.005446
                  48,            0.034525,             0.14203,           0.0031275,             0.99357,             0.99367,             0.99023,             0.61292,            0.030078,             0.10976,           0.0021454,            0.005347,            0.005347,            0.005347
                  49,             0.03432,             0.13981,           0.0031488,             0.99338,             0.99358,             0.99022,              0.6148,             0.02993,              0.1093,           0.0021156,            0.005248,            0.005248,            0.005248
                  50,            0.034477,             0.14445,           0.0030271,             0.99337,             0.99351,             0.99037,             0.61537,            0.029938,             0.10992,           0.0020779,            0.005149,            0.005149,            0.005149
                  51,            0.034309,             0.14332,            0.002968,             0.99356,             0.99366,             0.99089,             0.61566,            0.029995,             0.10967,           0.0020478,             0.00505,             0.00505,             0.00505
                  52,            0.034378,             0.14039,           0.0030538,             0.99353,             0.99375,             0.99098,              0.6161,            0.029891,              0.1093,           0.0020623,            0.004951,            0.004951,            0.004951
                  53,            0.033988,             0.13928,           0.0029421,             0.99286,             0.99305,             0.99012,             0.59963,            0.031451,             0.11077,           0.0020683,            0.004852,            0.004852,            0.004852
                  54,            0.034151,             0.13816,           0.0028037,             0.99287,             0.99294,             0.98976,             0.61102,            0.030073,             0.11024,           0.0020699,            0.004753,            0.004753,            0.004753
                  55,             0.03461,             0.14328,           0.0029085,             0.99332,             0.99341,             0.99024,             0.61293,            0.029962,             0.10944,            0.002039,            0.004654,            0.004654,            0.004654
                  56,            0.033877,             0.14036,           0.0028187,             0.99354,             0.99371,             0.99023,             0.62229,            0.029588,             0.10884,           0.0020215,            0.004555,            0.004555,            0.004555
                  57,            0.033808,             0.13868,           0.0030014,             0.99342,             0.99362,             0.99086,             0.61718,            0.029834,             0.10929,           0.0020088,            0.004456,            0.004456,            0.004456
                  58,            0.033783,             0.14027,           0.0027499,             0.99357,             0.99374,             0.99087,             0.62157,            0.029577,             0.10869,           0.0020112,            0.004357,            0.004357,            0.004357
                  59,            0.033464,             0.14011,            0.002871,             0.99329,             0.99345,             0.99052,             0.61966,            0.029734,             0.10881,            0.001987,            0.004258,            0.004258,            0.004258
                  60,            0.033481,             0.13894,           0.0026262,              0.9933,             0.99342,                0.99,             0.62089,            0.029565,             0.10878,           0.0019786,            0.004159,            0.004159,            0.004159
                  61,            0.033821,             0.14203,           0.0028452,             0.99351,             0.99365,              0.9908,             0.62389,            0.029642,             0.10913,            0.001977,             0.00406,             0.00406,             0.00406
                  62,            0.033626,              0.1411,           0.0029444,             0.99349,             0.99365,             0.99061,             0.62128,            0.029727,             0.10877,            0.001993,            0.003961,            0.003961,            0.003961
                  63,            0.033935,             0.14303,           0.0029162,             0.99339,             0.99365,             0.99053,             0.61889,            0.029749,             0.10853,           0.0019743,            0.003862,            0.003862,            0.003862
                  64,            0.033426,             0.13897,           0.0028298,             0.99311,              0.9933,             0.99038,             0.62573,            0.029329,             0.10802,           0.0019591,            0.003763,            0.003763,            0.003763
                  65,            0.033162,             0.13788,           0.0026862,             0.99356,             0.99378,             0.99047,             0.62619,            0.029291,             0.10865,             0.00195,            0.003664,            0.003664,            0.003664
                  66,            0.033409,             0.14227,           0.0030567,             0.99359,             0.99374,             0.99113,             0.62459,            0.029473,             0.10838,           0.0019385,            0.003565,            0.003565,            0.003565
                  67,            0.033277,             0.14026,           0.0031371,             0.99376,             0.99395,             0.99044,             0.62626,             0.02952,             0.10861,            0.001966,            0.003466,            0.003466,            0.003466
                  68,            0.033178,             0.13801,           0.0027515,             0.99348,             0.99365,             0.99047,             0.62795,            0.029368,             0.10855,           0.0019578,            0.003367,            0.003367,            0.003367
                  69,            0.033218,             0.13673,           0.0028459,             0.99366,             0.99384,             0.99086,             0.62947,             0.02932,             0.10851,           0.0019466,            0.003268,            0.003268,            0.003268
                  70,            0.033265,              0.1367,           0.0027676,             0.99348,             0.99365,              0.9905,             0.62748,             0.02934,              0.1081,           0.0019315,            0.003169,            0.003169,            0.003169
                  71,            0.033103,             0.14226,           0.0028749,             0.99346,             0.99362,             0.99069,             0.62698,            0.029296,             0.10865,           0.0019362,             0.00307,             0.00307,             0.00307
                  72,            0.033547,             0.14167,           0.0028127,             0.99341,             0.99359,             0.99074,             0.62929,            0.029364,             0.10813,           0.0019257,            0.002971,            0.002971,            0.002971
                  73,            0.033605,             0.14091,           0.0027631,             0.99342,             0.99362,             0.99066,             0.63103,            0.029082,             0.10785,           0.0019198,            0.002872,            0.002872,            0.002872
                  74,            0.032971,             0.14025,            0.002864,             0.99363,             0.99378,             0.99063,             0.63106,            0.029213,             0.10811,           0.0019096,            0.002773,            0.002773,            0.002773
                  75,            0.032801,             0.13429,           0.0027806,             0.99318,             0.99333,             0.99018,             0.62948,             0.02923,             0.10805,            0.001911,            0.002674,            0.002674,            0.002674
                  76,             0.03309,             0.14021,            0.002846,              0.9935,             0.99358,             0.99018,             0.63065,            0.029121,             0.10746,           0.0018968,            0.002575,            0.002575,            0.002575
                  77,            0.032254,             0.13567,             0.00241,             0.99318,             0.99323,             0.99044,             0.63059,            0.029143,             0.10757,           0.0018993,            0.002476,            0.002476,            0.002476
                  78,            0.032595,             0.13782,           0.0025367,             0.99325,             0.99346,             0.99029,             0.63004,            0.029025,             0.10754,           0.0019006,            0.002377,            0.002377,            0.002377
                  79,            0.032961,             0.13995,           0.0029516,              0.9931,             0.99333,              0.9906,             0.63228,            0.028994,             0.10723,           0.0018889,            0.002278,            0.002278,            0.002278
                  80,            0.032709,             0.14108,           0.0025242,             0.99298,             0.99313,             0.98987,             0.63239,            0.029134,             0.10818,            0.001886,            0.002179,            0.002179,            0.002179
                  81,            0.032913,              0.1417,           0.0030274,             0.99339,             0.99362,              0.9906,             0.63626,            0.028939,             0.10734,           0.0018817,             0.00208,             0.00208,             0.00208
                  82,            0.032373,             0.13629,           0.0027466,             0.99313,              0.9933,             0.99068,             0.63093,            0.029053,              0.1077,           0.0018866,            0.001981,            0.001981,            0.001981
                  83,            0.033107,             0.14171,           0.0028082,             0.99329,             0.99346,              0.9908,             0.62878,            0.029097,             0.10737,           0.0018796,            0.001882,            0.001882,            0.001882
                  84,            0.032679,             0.13756,           0.0026727,             0.99328,             0.99346,             0.99083,             0.63623,            0.028909,             0.10716,           0.0018704,            0.001783,            0.001783,            0.001783
                  85,            0.032506,              0.1371,           0.0026786,             0.99331,             0.99347,              0.9911,             0.63566,            0.028862,             0.10676,           0.0018665,            0.001684,            0.001684,            0.001684
                  86,            0.032642,              0.1393,           0.0026982,             0.99328,             0.99346,             0.99061,             0.63607,             0.02882,             0.10678,           0.0018638,            0.001585,            0.001585,            0.001585
                  87,            0.032432,             0.13933,           0.0026333,             0.99332,              0.9935,              0.9906,             0.63405,            0.028874,             0.10694,           0.0018585,            0.001486,            0.001486,            0.001486
                  88,            0.032766,             0.13676,           0.0028619,             0.99347,             0.99366,             0.99107,             0.63704,            0.028822,             0.10686,           0.0018608,            0.001387,            0.001387,            0.001387
                  89,            0.032393,             0.13548,           0.0028232,             0.99346,             0.99362,             0.99101,             0.63639,            0.028798,             0.10665,           0.0018595,            0.001288,            0.001288,            0.001288
                  90,            0.032585,              0.1404,           0.0027265,             0.99339,             0.99355,             0.99092,             0.64003,            0.028675,             0.10646,           0.0018606,            0.001189,            0.001189,            0.001189
                  91,            0.032102,             0.13462,            0.002787,             0.99357,             0.99371,             0.99082,             0.63976,            0.028675,             0.10632,           0.0018605,             0.00109,             0.00109,             0.00109
                  92,            0.032021,             0.13536,           0.0025722,             0.99345,              0.9936,             0.99039,             0.63706,            0.028823,              0.1068,           0.0018577,            0.000991,            0.000991,            0.000991
                  93,            0.032071,             0.13517,           0.0027907,             0.99346,             0.99359,              0.9908,             0.64005,            0.028713,             0.10662,           0.0018567,            0.000892,            0.000892,            0.000892
                  94,            0.032256,             0.13711,            0.002568,             0.99351,             0.99363,             0.99074,             0.64022,            0.028735,             0.10651,            0.001856,            0.000793,            0.000793,            0.000793
                  95,             0.03216,             0.13328,           0.0026375,             0.99345,             0.99364,             0.99087,             0.63715,            0.028841,             0.10677,           0.0018504,            0.000694,            0.000694,            0.000694
                  96,            0.031968,             0.13802,           0.0026418,             0.99345,             0.99362,             0.99073,             0.63961,            0.028777,              0.1067,           0.0018514,            0.000595,            0.000595,            0.000595
                  97,            0.032152,             0.13738,           0.0028304,             0.99351,             0.99361,             0.99071,             0.63968,            0.028651,             0.10629,           0.0018494,            0.000496,            0.000496,            0.000496
                  98,            0.031725,             0.13342,           0.0026013,             0.99363,             0.99377,             0.99092,             0.64178,            0.028623,             0.10628,           0.0018469,            0.000397,            0.000397,            0.000397
                  99,            0.031875,             0.13598,           0.0026901,             0.99345,             0.99362,             0.99089,             0.63855,            0.028701,             0.10643,           0.0018486,            0.000298,            0.000298,            0.000298
